id,created_at,updated_at,deleted_at,title,secondary_title,image_url,price,simple_description,description,city,state,location_lat,location_long,target,category,posted_by,posted_date,condition,age,ad_status,images
1,"2022-03-31 09:33:08.281","2022-03-31 12:29:50.716",NULL,"Portable Baby Playpen Crib Cradle with Carring Bag","Holds upto 20 Lbs",https://gatormart-uf.s3.amazonaws.com/11.jpg,150,"Portable Baby Playpen Crib Cradle with Carring Bag","This baby playpen with diaper changing pad and mosquito net gives parents everything they need to keep baby happy. &nbsp The newborn bassinet gives your resting baby a cozy place to nap. It features a luxury high hanging mosquito net which can prevent mosquito, block the dust and create good atmosphere for sleeping. ",Gainesville,FL,29.6204588,-82.3765351,Student,Furniture,,,"Like New",3,,"https://gatormart-uf.s3.amazonaws.com/12.jpg,https://gatormart-uf.s3.amazonaws.com/13.jpg,https://gatormart-uf.s3.amazonaws.com/14.jpg,https://gatormart-uf.s3.amazonaws.com/15.jpg"
2,"2022-03-31 09:49:22.319","2022-03-31 12:31:48.958",NULL,"Metal Decorative Basket with Handles","16L x 12W x 9.5D" heavy weighs aprox.5lbs",https://gatormart-uf.s3.amazonaws.com/22.jpg,80,"Decorative Farmhouse style","Condition Used - Good Decor Style Farmhouse, Color brown 16L x 12W x 9.5D" ,heavy weighs aprox.5lbs.",Gainesville,FL,29.6204636,-82.3765427,Student,Furniture,,,"Less used",0,,"https://gatormart-uf.s3.amazonaws.com/2.jpg,https://gatormart-uf.s3.amazonaws.com/3.jpg,https://gatormart-uf.s3.amazonaws.com/4.jpg,https://gatormart-uf.s3.amazonaws.com/5.jpg,https://gatormart-uf.s3.amazonaws.com/6.jpg"
3,"2022-03-31 09:54:19.666","2022-03-31 12:32:27.585",NULL,"Refrigerator Mini Beer Beverage Wine Soda Fridge Glass Door 115 Can Drink Cooler"," Dimensions: L 18.9"" x W 17.3"" x H 33.1""",https://gatormart-uf.s3.amazonaws.com/31.jpg,0,"Product Features: • Stainless steel door frame • Wide temperature range 33.8℉-50℉ • Tempered low-e glass door • Convenient glass shelves • Simple yet practical design with recessed handle • Adjust to keep your cooler steady with adjustable legs • Easy to find the beverage you want to drink with interior LED light •","Cool your cans with this 115 cans beverage cooler, Stainless Steel frame. It has plenty of cooling capacity so that you can enjoy a cold one, whether during a family gathering or just because. Plenty of storage capacity provides space to keep your wines. The auto defrost function heats the element for short time and melts away any frost that may have formed. 3 shelves and a bottom row offer stylish storage for your wine collection. Glass door showcases the contents of the cooler. Freestanding design allows flexible placement. LED interior lighting gently illuminates your wine collection.",Gainesville,FL,29.6204616,-82.376538,Student,ElectronicsAppliances,,,NA,6,,"https://gatormart-uf.s3.amazonaws.com/32.jpg,https://gatormart-uf.s3.amazonaws.com/33.jpg,https://gatormart-uf.s3.amazonaws.com/34.jpg,https://gatormart-uf.s3.amazonaws.com/35.jpg"
4,"2022-03-31 12:18:48.403","2022-03-31 12:18:48.403",NULL,"DlandHome Modern Accent Chair Sofa Chair with Pillow for Living Room, Bedroom","Style: Modern. Weight: Around 32 lbs.",https://gatormart-uf.s3.amazonaws.com/2.jpg,35,"Armchair Dining Chair Accent Chair with Arms Reception Chair. tub Chair for Bedroom Dining Room Living Room Office.","Armchair Dining Chair Accent Chair with Arms Reception Chair. tub Chair for Bedroom Dining Room Living Room Office.",Gainesville,FL,29.6204165,-82.3764912,Student,Furniture,,,New,0,,"https://gatormart-uf.s3.amazonaws.com/1.jpg,https://gatormart-uf.s3.amazonaws.com/3.jpg,https://gatormart-uf.s3.amazonaws.com/4.jpg,https://gatormart-uf.s3.amazonaws.com/5.jpg"
5,"2022-03-31 15:09:54.478","2022-03-31 15:09:54.478",NULL,"Convertible Memory Foam Futon, Camel Suede, Beige | Living Room Couch Guest Sofa Modern Seat","Paid $1000 asking only $300 Need it gone ASAP ",https://gatormart-uf.s3.amazonaws.com/51.jpeg,300,"Used for about 4 months.  I’m moving out and can’t take it with me Great couch/bed for having guest over night"," couch sofa bed pull out bed queen twin, Used for about 4 months.  I’m moving out and can’t take it with me Great couch/bed for having guest over night",Orlando,FL,29.6204087,-82.3764972,Student,Furniture,,,NA,0,,"https://gatormart-uf.s3.amazonaws.com/52.jpeg,https://gatormart-uf.s3.amazonaws.com/53.jpeg,https://gatormart-uf.s3.amazonaws.com/54.jpeg"
6,"2022-03-31 15:13:22.381","2022-03-31 15:13:22.381",NULL,"5 Drawer Rolling Cart Solid Wood Shelves Storage Craft Tool Box With Wheel Caster Cabinet Container","Chest is a traditional Danish design and produced with a fade-resistant foil surface, which is easy to clean",https://gatormart-uf.s3.amazonaws.com/61.jpg,90,"Un used","Pairing classic lines with a pristine finish, the 3 Drawer Chest offers generous storage. Three drawers with high sides provide plenty of storage for knick-knacks and belongings with a low profile, no-fuss smooth silhouette. ",Tampa,FL,29.6204191,-82.376495,Student,Furniture,,,"5 months old",5,,"https://gatormart-uf.s3.amazonaws.com/62.jpg,https://gatormart-uf.s3.amazonaws.com/63.jpg,https://gatormart-uf.s3.amazonaws.com/64.jpg,https://gatormart-uf.s3.amazonaws.com/65.jpg,https://gatormart-uf.s3.amazonaws.com/66.jpg"
7,"2022-03-31 15:15:45.176","2022-03-31 15:15:45.176",NULL,"Electric Griller","Model:  GR-4",https://gatormart-uf.s3.amazonaws.com/71.jpg,0,"Used only twice","Offers four separate cooking options.  Simply change the cooking plates and use as a Contact grill, Panini Press, Open grill, or Griddle.   Comes with instruction and recipe booklet.  ",Miami,FL,29.6204078,-82.3764899,Student,ElectronicsAppliances,,,"Used twice",1,,"https://gatormart-uf.s3.amazonaws.com/72.jpg,https://gatormart-uf.s3.amazonaws.com/73.jpg,https://gatormart-uf.s3.amazonaws.com/74.jpg,https://gatormart-uf.s3.amazonaws.com/75.jpg,https://gatormart-uf.s3.amazonaws.com/76.jpg"
8,"2022-03-31 15:21:30.858","2022-03-31 15:21:30.858",NULL,"Celing Fan","42" Hugger Metal Indoor Ceiling Fan Reversible Blade",https://gatormart-uf.s3.amazonaws.com/81.jpg,35,"QUIET, REVERSIBLE MOTOR: Conveniently quiet, 3 speed - reversible motor for year-round comfort.","EASY ON AND OFF: Traditional pull chains included for easy "on and off" adjustments  REVERSIBLE FAN BLADES: Get the perfect finish match with our reversible ceiling fan blades.  LOW PROFILE DESIGN: Hugger ceiling fan, built for rooms where extra space is needed. PERFECT FOR SMALL& MEDIUM SIZED ROOMS: Perfect for rooms around 15 x 15 feet such as living rooms, bedrooms, dining rooms or family rooms.",Tampa,FL,29.6204248,-82.3764918,Student,ElectronicsAppliances,,,"Working condition",12,,"https://gatormart-uf.s3.amazonaws.com/82.jpg,https://gatormart-uf.s3.amazonaws.com/83.jpg,https://gatormart-uf.s3.amazonaws.com/84.jpg,https://gatormart-uf.s3.amazonaws.com/85.jpg,https://gatormart-uf.s3.amazonaws.com/86.jpg"
9,"2022-03-31 15:23:57.216","2022-03-31 15:23:57.216",NULL,Blender,"Portable Blender, 13.5 Oz Personal Size Juicer Cup for Smoothies and Shakes, USB Rechargeable",https://gatormart-uf.s3.amazonaws.com/91.jpg,68,"Portable Blender, 13.5 Oz Personal Size Juicer Cup for Smoothies and Shakes, USB Rechargeable with Six Blades, for Sports Travel and Outdoors ","Product Same as Picture - 100% NEW in box and never been use . Plese take a look at all Picture . ",Gainesville,FL,29.6204223,-82.3764878,Student,ElectronicsAppliances,,,New,0,,"https://gatormart-uf.s3.amazonaws.com/92.jpg,https://gatormart-uf.s3.amazonaws.com/93.jpg,https://gatormart-uf.s3.amazonaws.com/94.jpg,https://gatormart-uf.s3.amazonaws.com/95.jpg"
10,"2022-03-31 15:55:53.596","2022-03-31 15:55:53.596",NULL,Mirror,"Compliments of California wall mirror 33" copper bronze",https://gatormart-uf.s3.amazonaws.com/101.jpg,45,"Vintage mirror from annex galley was in the Beau rivage resort & casino in biloxi Mississippi , nice heavy vintage mirror 48x36 in.","Reuse Planet is brought to you by The Repurpose Project and features used furniture, appliances, cabinets and more.",Gainesville,FL,29.6203994,-82.3764868,Student,Furniture,,,Good,7,,"https://gatormart-uf.s3.amazonaws.com/102.jpg,https://gatormart-uf.s3.amazonaws.com/103.jpg,https://gatormart-uf.s3.amazonaws.com/104.jpg,https://gatormart-uf.s3.amazonaws.com/105.jpg,https://gatormart-uf.s3.amazonaws.com/106.jpg"
